Name,Price,Vendor,Avaliability,SKU
LG DFB512FP QuadWash Dishwasher| LGDW512DFB-FP,"₦628,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20219
LG T1369NEHTF 13KG Top Load Washing Machine| LGWM1369NEHTF-T,"₦547,500.00",LG/ Hisense/ Maxi Shopahome,In stock,20216
Hisense WM802T-WTJA 8KG Top Load Washing Machine| HISWM802T-WTJA,"₦249,200.00",LG/ Hisense/ Maxi Shopahome,In stock,20214
Hisense WM113-WSRB 11KG Top Load Twin Tub Washing Machine| HISWM113WSRB,"₦172,900.00",LG/ Hisense/ Maxi Shopahome,In stock,20213
LG P1461RWPL 13KG Top Load Twin Tub Washing Machine| LGWM1461RWPL,"₦351,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20211
LG T9585NDHVH 9KG Top Load Washing Machine| LGWM9585NDHVH,"₦375,800.00",LG/ Hisense/ Maxi Shopahome,In stock,20210
Hisense WM1214T-WDQR 12/8KG Front Load (Wash & Dry) Washing Machine| HISWM1214T-WDQR,"₦616,200.00",LG/ Hisense/ Maxi Shopahome,In stock,20208
Hisense WM6010S-WFVB 6KG Front Load Washing Machine| HISWM6010MS-WFVB,"₦284,200.00",LG/ Hisense/ Maxi Shopahome,In stock,20206
LG P1860RWP 16KG Top Load Twin Tub Washing Machine| LGWM1860RWP,"₦364,300.00",LG/ Hisense/ Maxi Shopahome,In stock,20204
LG WP-950RC 8KG Top Load Twin Tub Washing Machine| LGWM950,"₦238,400.00",LG/ Hisense/ Maxi Shopahome,In stock,20203
LG P1401RWPL 12KG Top Load Twin Tub Washing Machine| LGWM1401ROPL,"₦318,600.00",LG/ Hisense/ Maxi Shopahome,In stock,20202
Maxi 10L 2000W Water Heater| MAXIWH10-20VE,"₦62,100.00",LG/ Hisense/ Maxi Shopahome,In stock,20200
Maxi 30L 2000W Water Heater| MAXIWH30-20VE,"₦91,800.00",LG/ Hisense/ Maxi Shopahome,In stock,20199
2 In 1 Neck Massage Fan,"₦7,000.00",Shopahome,In stock,5542
Hisense FL30FC 222L Showcase Single Door Refrigerator| HISREF30FC-FL,"₦410,100.00",LG/ Hisense/ Maxi Shopahome,In stock,20044
Hisense FL37FC 282L Showcase Single Door Refrigerator| HISREF37FC-FL,"₦444,500.00",LG/ Hisense/ Maxi Shopahome,In stock,20043
Kitchen Knife Set,"₦4,000.00",Shopahome,In stock,7126
Kitchen Knife Set With Transparent Holder,"₦16,500.00",Shopahome,In stock,7127
Hisense FL50FC 382L Showcase Single Door Refrigerator| HISREF50FC-FL,"₦762,100.00",LG/ Hisense/ Maxi Shopahome,In stock,20040
Hisense FL42FC 306L Showcase Single Door Refrigerator| HISREF42FC-FL,"₦581,100.00",LG/ Hisense/ Maxi Shopahome,In stock,20039
LG FH2J3QDNP0 7.5KG Front Load Washing Machine| LGWM2J3QNDP0,"₦467,400.00",LG/ Hisense/ Maxi Shopahome,In stock,20035
Binatone 4 Slice Pop-Up Toaster |BIN-POP414-ST,"₦32,500.00",Shopahome,In stock,7193
Hisense FC120SH 95L Chest Freezer| HISFRZ120SH-FC,"₦190,300.00",LG/ Hisense/ Maxi Shopahome,In stock,20243
Hisense 205DRB 205L Double Door Refrigerator| HISREF205DRB,"₦280,800.00",LG/ Hisense/ Maxi Shopahome,In stock,20134
Hisense WM6012S 6KG Front Load Washing Machine| HISWM6012S-WFH,"₦318,600.00",LG/ Hisense/ Maxi Shopahome,In stock,20298
Hisense 29DCA 225L Bottom Freezer Refrigerator| HISREF29DCA-RD,"₦330,000.00",LG/ Hisense/ Maxi Shopahome,In stock,20272
Hisense FC390SH 297L Chest Freezer| HISFRZ390SH-FC,"₦351,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20266
"('None',)","('None',)","('None',)","('None',)",None
Hisense H20MOBS11 700W 20L Microwave Oven| HISMWO20MOBS11-H,"₦73,400.00",LG/ Hisense/ Maxi Shopahome,In stock,20254
LG T8585NDKVH 8KG Top Load Washing Machine| LGWM8585NDHV-T,"₦351,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20172
LG MS2044DMB 700W 20L Microwave Oven| LGMWO2044DMB,"₦101,000.00",LG/ Hisense/ Maxi Shopahome,In stock,20171
LG MS2595CIS 1000W 25L Microwave Oven| LGMWO2595CIS,"₦151,400.00",LG/ Hisense/ Maxi Shopahome,In stock,20170
LG MH6535GIS 1000W 25L Microwave Oven| LGMWO6535GIS,"₦177,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20169
LG MS4295CIS 1200W 42L Microwave Oven| LGMWO4295CIS,"₦177,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20168
Maxi Tabletop Gas Cooker 100OC| MAXI100,"₦8,300.00",LG/ Hisense/ Maxi Shopahome,In stock,20154
Maxi 50*50 4 Burner Gas Cooker IGL INOX| MAXI50504BIGLINOX,"₦158,300.00",LG/ Hisense/ Maxi Shopahome,In stock,20149
Maxi 50*50 (3+1) Burner Gas Cooker INOX| MAXI505031INOX,"₦158,300.00",LG/ Hisense/ Maxi Shopahome,In stock,20148
Maxi 60*60 (3+1) Burner Gas Cooker Red| MAXI6060-M4-RED,"₦222,400.00",LG/ Hisense/ Maxi Shopahome,In stock,20146
"('None',)","('None',)","('None',)","('None',)",None
Maxi 60*90 (4+2) Burner Gas Cooker INOX| MAXI60X90P-4-2-IN,"₦398,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20142
Maxi 60*90 (4+2) Burner Gas Cooker Wood| MAXI60X90P-4-2-WD,"₦387,200.00",LG/ Hisense/ Maxi Shopahome,In stock,20141
Maxi 60*90 5 Burner Gas Cooker INOX| MAXI60X90P-5B-IN,"₦398,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20140
Maxi 60*60 (3+1) Burner Gas Cooker IGL INOX TR| MAXI6060TR31IGLIN,"₦256,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20139
LG FH2J3WDNP0 6.5KG Front Load Washing Machine| LGWM2J3WDNP0,"₦431,900.00",LG/ Hisense/ Maxi Shopahome,In stock,20173
LG GL-051SQQ 48L Single Door Refrigerator| LGREF051ASS,"₦153,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20136
LG T1266NEFV 12KG Top Load Washing Machine| LGWM1266NEFT,"₦497,100.00",LG/ Hisense/ Maxi Shopahome,In stock,20306
Genesis 10 in 1 Steam Mop,"₦61,600.00",Stormy Store,In stock,19009
LG GC-B414ELFM 324L Standing Freezer| LGFRZ414ELFM-B,"₦891,000.00",LG/ Hisense/ Maxi Shopahome,In stock,20307
Maxi 1675S-B Water Dispenser| MAXIWD1675S-B,"₦123,900.00",LG/ Hisense/ Maxi Shopahome,In stock,20308
Maxi 1639S Water Dispenser| MAXIWD1639S,"₦142,200.00",LG/ Hisense/ Maxi Shopahome,In stock,20311
CWAY Water Dispenser Executive 3C| CWM26HC,"₦78,500.00",Cway Group Official Store,In stock,30027
CWAY Water Dispenser Executive 1C| 58B24HL,"₦97,000.00",Cway Group Official Store,In stock,30028
CWAY Water Dispenser Ruby 2S Double Door| BY87,"₦112,500.00",Cway Group Official Store,In stock,30029
CWAY Water Dispenser Ruby 7F Double Door| BYB89,"₦101,500.00",Cway Group Official Store,In stock,30030
Cway Water Dispenser Ruby 3F Freezer and Fridge| 58B20HL,"₦108,000.00",Cway Group Official Store,In stock,30031
Cway Water Dispenser Ruby 6F| BYB53,"₦101,500.00",Cway Group Official Store,In stock,30032
CWAY Water Dispenser Executive 3S| 58B1HX,"₦108,000.00",Cway Group Official Store,In stock,30033
CWAY Water Dispenser Ruby 4F Freezer and Fridge| BYB72,"₦115,500.00",Cway Group Official Store,In stock,30034
CWAY Water Dispenser Artic 1B Bottom Loading| CWM16BL,"₦128,000.00",Cway Group Official Store,In stock,30035
CWAY Water Dispenser Ruby 2F Freezer and Fridge| BYB87,"₦115,500.00",Cway Group Official Store,In stock,30036
CWAY Water Dispenser Executive 2F Freezer and Fridge| 58B15HL,"₦115,500.00",Cway Group Official Store,In stock,30037
Actiu STAY Harlequin Chair,"₦397,900.00",LG/ Hisense/ Maxi Shopahome,In stock,20313
Actiu Trim Task Chair Series 50,"₦598,000.00",LG/ Hisense/ Maxi Shopahome,In stock,20314
Actiu EFIT Office Chair with Black Back,"₦467,400.00",LG/ Hisense/ Maxi Shopahome,In stock,20315
Actiu TNK Flex Chair,"₦1,079,000.00",LG/ Hisense/ Maxi Shopahome,In stock,20317
Actiu EFIT Office Chair,"₦424,500.00",LG/ Hisense/ Maxi Shopahome,In stock,20318
Actiu Trim Task Chair Series 30,"₦598,000.00",LG/ Hisense/ Maxi Shopahome,In stock,20319
Actiu Cron Modern Executive Office Chair,"₦1,433,500.00",LG/ Hisense/ Maxi Shopahome,In stock,20321
Actiu Spacio Chair with Arms,"₦119,000.00",LG/ Hisense/ Maxi Shopahome,In stock,20323
Actiu Urban Block Chair,"₦118,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20324
Actiu Wing Chair,"₦158,900.00",LG/ Hisense/ Maxi Shopahome,In stock,20325
Actiu Whass Chair 4 Star Base with Wheels,"₦332,800.00",LG/ Hisense/ Maxi Shopahome,In stock,20326
Actiu Noom Chair,"₦149,400.00",LG/ Hisense/ Maxi Shopahome,In stock,20328
Actiu Whass Stool Chair with Wheels,"₦400,500.00",LG/ Hisense/ Maxi Shopahome,In stock,20329
Actiu Whass Chair,"₦134,300.00",LG/ Hisense/ Maxi Shopahome,In stock,20330
Actiu Noom Chair with Cantilever Frame,"₦343,300.00",LG/ Hisense/ Maxi Shopahome,In stock,20331
Actiu Noom Chair with 4-Star Base,"₦566,900.00",LG/ Hisense/ Maxi Shopahome,In stock,20332
Actiu Urban Plus 30 Gas Lift Chair,"₦409,500.00",LG/ Hisense/ Maxi Shopahome,In stock,20333
Actiu Urban Plus 30 Chair U30,"₦299,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20334
Actiu Urban Plus 30 Chair U31,"₦517,800.00",LG/ Hisense/ Maxi Shopahome,In stock,20335
Actiu Urban Plus 30 Chair U37,"₦525,300.00",LG/ Hisense/ Maxi Shopahome,In stock,20336
Actiu Ikara Chair with Swivel Base,"₦681,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20338
Actiu Ikara Chair,"₦456,100.00",LG/ Hisense/ Maxi Shopahome,In stock,20339
Actiu Spacio Chair with Arms and 5-Spoke Base,"₦265,300.00",LG/ Hisense/ Maxi Shopahome,In stock,20340
Actiu Noom Series 30 Chair with 4-Star Base,"₦796,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20341
Actiu Noom Series 20 Armchair,"₦1,414,400.00",LG/ Hisense/ Maxi Shopahome,In stock,20344
Actiu Noom Series 30 Armchair,"₦841,900.00",LG/ Hisense/ Maxi Shopahome,In stock,20345
Actiu Noom Series 10 Armchair,"₦998,900.00",LG/ Hisense/ Maxi Shopahome,In stock,20347
Actiu Longo Nomad Armchair,"₦1,160,400.00",LG/ Hisense/ Maxi Shopahome,In stock,20348
Actiu Transit 3-Seater Bench,"₦2,164,900.00",LG/ Hisense/ Maxi Shopahome,In stock,20349
Actiu Spacio 3-Seater Bench,"₦511,800.00",LG/ Hisense/ Maxi Shopahome,In stock,20350
Actiu Noom Series 50 3-Seater Bench,"₦672,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20351
Actiu Passport 3-Seater Bench,"₦2,920,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20352
Actiu Avant 3-Seater Bench,"₦2,216,900.00",LG/ Hisense/ Maxi Shopahome,In stock,20353
Actiu Bend Regular Soft Seating F23,"₦929,800.00",LG/ Hisense/ Maxi Shopahome,In stock,20354
Actiu Bend Irregular Soft Seating F24,"₦827,500.00",LG/ Hisense/ Maxi Shopahome,In stock,20355
Actiu Bend Irregular Soft Seating F25,"₦827,500.00",LG/ Hisense/ Maxi Shopahome,In stock,20356
Actiu Bend Round Soft Seating F10,"₦454,300.00",LG/ Hisense/ Maxi Shopahome,In stock,20357
Actiu Prisma Credenza Office Desk,"₦1,242,500.00",LG/ Hisense/ Maxi Shopahome,In stock,20360
Actiu Prisma Side by Side Meeting Table,"₦859,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20361
Actiu Ofimat Office Desk P15,"₦269,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20362
Actiu Vital Pro Office Desk VR513,"₦384,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20363
Actiu Ofimat Office Desk P13,"₦352,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20364
Actiu Twist Operative Office Desk,"₦914,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20365
Actiu Talent Series 300 Flip-Top Table,"₦635,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20366
Actiu Talent Series 500 Flip-Top Table with Adjustable Height,"₦979,400.00",LG/ Hisense/ Maxi Shopahome,In stock,20367
Actiu Twist Office Desk,"₦865,400.00",LG/ Hisense/ Maxi Shopahome,In stock,20368
Actiu Twist Triple Desk,"₦1,277,100.00",LG/ Hisense/ Maxi Shopahome,In stock,20369
Actiu Vital Pro Twin Desk VR56,"₦662,100.00",LG/ Hisense/ Maxi Shopahome,In stock,20370
Actiu Vital Pro 4 People Workstation Desk VR568,"₦1,251,600.00",LG/ Hisense/ Maxi Shopahome,In stock,20371
Actiu Longo Nomada Coffee Table 60x60,"₦268,100.00",LG/ Hisense/ Maxi Shopahome,In stock,20372
Actiu Tabula TAR-10 Round Coffee Table,"₦198,000.00",LG/ Hisense/ Maxi Shopahome,In stock,20373
Actiu Tabula TAR-20 Square Coffee Table with Glass,"₦598,900.00",LG/ Hisense/ Maxi Shopahome,In stock,20374
Actiu Longo Nomada Coffee Table 100x60,"₦405,600.00",LG/ Hisense/ Maxi Shopahome,In stock,20375
Actiu Bend Coffee Table,"₦144,700.00",LG/ Hisense/ Maxi Shopahome,In stock,20376
Actiu Tabula TAR-20 Square Coffee Table,"₦347,800.00",LG/ Hisense/ Maxi Shopahome,In stock,20377
Actiu Tabula TAR-20 Round Coffee Table,"₦429,100.00",LG/ Hisense/ Maxi Shopahome,In stock,20378
